# HOMER Peaks
# Peak finding parameters:
# tag directory = USF2_tags/
#
# total peaks = 20375
# peak size = 318
# peaks found using tags on both strands
# minimum distance between peaks = 636
# fragment length = 150
# genome size = 2000000000
# Total tags = 15985705.0
# Total tags in peaks = 1288648.0
# Approximate IP efficiency = 8.06%
# tags per bp = 0.007993
# expected tags per peak = 2.542
# maximum tags considered per bp = 1.0
# effective number of tags used for normalization = 10000000.0
# Peaks have been centered at maximum tag pile-up
# FDR rate threshold = 0.001000000
# FDR effective poisson threshold = 2.845597e-06
# FDR tag threshold = 13.0
# number of putative peaks = 40570
#
# input tag directory = INPUT_tags/
# Fold over input required = 4.00
# Poisson p-value over input required = 1.00e-04
# Putative peaks filtered by input = 18904
#
# size of region used for local filtering = 10000
# Fold over local region required = 4.00
# Poisson p-value over local region required = 1.00e-04
# Putative peaks filtered by local signal = 1291
#
# Maximum fold under expected unique positions for tags = 2.00
# Putative peaks filtered for being too clonal = 0
#
# cmd = findPeaks USF2_tags/ -style factor -i INPUT_tags/ -o USF2_peaks.txt
#
# Column Headers:
#PeakID	chr	start	end	strand	Normalized Tag Count	focus ratio	findPeaks Score	Total Tags	Control Tags (normalized to IP Experiment)	Fold Change vs Control	p-value vs Control	Fold Change vs Local	p-value vs Local	Clonal Fold Change
chr17-6	chr17	44344930	44345248	+	310.3	0.837	497.000000	496.0	9.2	53.90	0.00e+00	66.53	0.00e+00	0.51
chr8-1	chr8	125091663	125091981	+	308.4	0.848	494.000000	493.0	13.8	35.71	0.00e+00	67.01	0.00e+00	0.51
chr10-2	chr10	69179797	69180115	+	308.4	0.805	498.000000	493.0	7.2	68.88	0.00e+00	47.80	0.00e+00	0.51
chr11-5	chr11	67391712	67392030	+	307.8	0.837	494.000000	492.0	5.1	96.23	0.00e+00	56.96	0.00e+00	0.51
chr7-3	chr7	102273836	102274154	+	305.9	0.754	490.000000	489.0	10.7	45.55	0.00e+00	78.77	0.00e+00	0.51
chr11-6	chr11	36289285	36289603	+	305.9	0.868	491.000000	489.0	10.7	45.55	0.00e+00	84.59	0.00e+00	0.51
chr16-9	chr16	58684612	58684930	+	305.9	0.880	491.000000	489.0	11.8	41.59	0.00e+00	57.48	0.00e+00	0.51
chr19-7	chr19	18022167	18022485	+	305.3	0.808	493.000000	488.0	8.7	56.15	0.00e+00	57.59	0.00e+00	0.51
chr17-7	chr17	64145713	64146031	+	304.6	0.865	492.000000	487.0	16.4	29.77	0.00e+00	29.71	0.00e+00	0.51
chr8-2	chr8	70669081	70669399	+	304.0	0.744	490.000000	486.0	5.1	95.06	0.00e+00	60.64	0.00e+00	0.51
chr5-3	chr5	131797020	131797338	+	302.8	0.772	485.000000	484.0	8.7	55.69	0.00e+00	58.48	0.00e+00	0.51
chr7-4	chr7	93232189	93232507	+	302.1	0.855	485.000000	483.0	6.6	72.67	0.00e+00	73.16	0.00e+00	0.51
chr10-3	chr10	67884410	67884728	+	302.1	0.820	483.000000	483.0	5.1	94.47	0.00e+00	84.52	0.00e+00	0.51
chr12-4	chr12	55715874	55716192	+	300.3	0.863	481.000000	480.0	5.1	93.89	0.00e+00	54.13	0.00e+00	0.52
chr19-8	chr19	7522425	7522743	+	300.3	0.841	483.000000	480.0	9.2	52.16	0.00e+00	85.46	0.00e+00	0.52
chr5-4	chr5	151447394	151447712	+	299.0	0.855	481.000000	478.0	8.7	55.00	0.00e+00	75.41	0.00e+00	0.52
chr12-5	chr12	116737945	116738263	+	298.4	0.697	478.000000	477.0	6.6	71.77	0.00e+00	37.53	0.00e+00	0.52
chr22-1	chr22	39520295	39520613	+	295.3	0.805	479.000000	472.0	7.2	65.94	0.00e+00	47.43	0.00e+00	0.52
chr22-2	chr22	30968996	30969314	+	294.6	0.876	473.000000	471.0	11.2	41.88	0.00e+00	61.81	0.00e+00	0.52
chrX-1	chrX	55717549	55717867	+	294.6	0.808	472.000000	471.0	7.7	61.42	0.00e+00	94.97	0.00e+00	0.52
chr10-4	chr10	45594760	45595078	+	294.0	0.883	472.000000	470.0	5.6	83.57	0.00e+00	68.14	0.00e+00	0.52
chr14-11	chr14	21384095	21384413	+	293.4	0.855	471.000000	469.0	7.7	61.16	0.00e+00	44.48	0.00e+00	0.52
chr1-5	chr1	15526652	15526970	+	292.8	0.895	472.000000	468.0	13.3	35.21	0.00e+00	68.18	0.00e+00	0.52
chr19-9	chr19	5720057	5720375	+	292.8	0.720	472.000000	468.0	7.7	61.03	0.00e+00	66.27	0.00e+00	0.52
chr9-5	chr9	128947487	128947805	+	292.1	0.865	469.000000	467.0	7.2	65.25	0.00e+00	62.64	0.00e+00	0.52
chr17-9	chr17	74873234	74873552	+	290.3	0.910	464.000000	464.0	10.2	45.38	0.00e+00	53.51	0.00e+00	0.53
chr19-10	chr19	12945619	12945937	+	290.3	0.810	467.000000	464.0	6.1	75.63	0.00e+00	85.62	0.00e+00	0.53
chr12-6	chr12	112013221	112013539	+	289.0	0.812	467.000000	462.0	6.6	69.51	0.00e+00	59.86	0.00e+00	0.53
chr17-8	chr17	75979296	75979614	+	289.0	0.868	465.000000	462.0	8.7	53.16	0.00e+00	40.19	0.00e+00	0.53
chr19-11	chr19	3500533	3500851	+	289.0	0.854	463.000000	462.0	7.2	64.55	0.00e+00	56.27	0.00e+00	0.53
chr17-11	chr17	44899510	44899828	+	288.4	0.842	462.000000	461.0	9.7	47.46	0.00e+00	61.03	0.00e+00	0.53
chr20-4	chr20	2840514	2840832	+	287.8	0.845	466.000000	460.0	12.8	35.99	0.00e+00	47.00	0.00e+00	0.53
chr17-10	chr17	42566895	42567213	+	285.9	0.887	463.000000	457.0	10.7	42.57	0.00e+00	37.50	0.00e+00	0.53
chr17-12	chr17	62065841	62066159	+	285.9	0.911	459.000000	457.0	10.2	44.69	0.00e+00	47.65	0.00e+00	0.53
chr3-3	chr3	112561800	112562118	+	284.6	0.886	458.000000	455.0	5.6	80.91	0.00e+00	56.78	0.00e+00	0.53
chr17-13	chr17	74514403	74514721	+	283.4	0.554	453.000000	453.0	6.1	73.84	0.00e+00	15.66	0.00e+00	0.53
chr3-4	chr3	49786558	49786876	+	282.8	0.919	454.000000	452.0	13.3	34.00	0.00e+00	78.64	0.00e+00	0.53
chr1-7	chr1	28232886	28233204	+	282.1	0.898	453.000000	451.0	10.7	42.01	0.00e+00	58.93	0.00e+00	0.53
chr1-6	chr1	202927156	202927474	+	280.3	0.859	459.000000	448.0	11.2	39.83	0.00e+00	69.95	0.00e+00	0.54
chr2-3	chr2	219218950	219219268	+	280.3	0.877	450.000000	448.0	10.2	43.81	0.00e+00	48.20	0.00e+00	0.54
chr19-13	chr19	49877373	49877691	+	280.3	0.896	448.000000	448.0	11.2	39.83	0.00e+00	40.84	0.00e+00	0.54
chr15-3	chr15	74598266	74598584	+	279.6	0.921	452.000000	447.0	10.2	43.72	0.00e+00	63.01	0.00e+00	0.54
chr16-10	chr16	5071658	5071976	+	279.6	0.869	447.000000	447.0	16.9	26.49	0.00e+00	43.76	0.00e+00	0.54
chr4-2	chr4	83455719	83456037	+	279.0	0.890	450.000000	446.0	14.3	31.16	0.00e+00	52.23	0.00e+00	0.54
chr11-8	chr11	119121236	119121554	+	279.0	0.765	446.000000	446.0	9.2	48.47	0.00e+00	60.62	0.00e+00	0.54
chr12-7	chr12	64759271	64759589	+	279.0	0.852	448.000000	446.0	6.1	72.70	0.00e+00	55.88	0.00e+00	0.54
chr20-6	chr20	13638841	13639159	+	279.0	0.852	448.000000	446.0	18.9	23.58	0.00e+00	51.63	0.00e+00	0.54
chr20-8	chr20	47181318	47181636	+	279.0	0.918	447.000000	446.0	9.7	45.91	0.00e+00	68.24	0.00e+00	0.54
chr20-5	chr20	48921514	48921832	+	279.0	0.795	451.000000	446.0	16.4	27.26	0.00e+00	36.02	0.00e+00	0.54
chr17-14	chr17	7242867	7243185	+	278.4	0.819	447.000000	445.0	5.6	79.13	0.00e+00	41.56	0.00e+00	0.54
chr19-12	chr19	797011	797329	+	278.4	0.877	449.000000	445.0	10.2	43.52	0.00e+00	55.53	0.00e+00	0.54
chr19-15	chr19	47130557	47130875	+	278.4	0.883	446.000000	445.0	9.2	48.36	0.00e+00	77.42	0.00e+00	0.54
chr2-6	chr2	227325045	227325363	+	277.1	0.872	444.000000	443.0	10.2	43.33	0.00e+00	55.73	0.00e+00	0.54
chr8-3	chr8	53843143	53843461	+	277.1	0.855	445.000000	443.0	8.7	50.97	0.00e+00	61.03	0.00e+00	0.54
chr19-14	chr19	40750381	40750699	+	277.1	0.822	446.000000	443.0	9.2	48.14	0.00e+00	39.90	0.00e+00	0.54
chr2-4	chr2	99180889	99181207	+	276.5	0.879	447.000000	442.0	15.3	28.82	0.00e+00	54.26	0.00e+00	0.54
chr11-7	chr11	72103318	72103636	+	276.5	0.728	458.000000	442.0	6.6	66.50	0.00e+00	39.46	0.00e+00	0.54
chr16-11	chr16	21952450	21952768	+	276.5	0.821	447.000000	442.0	12.8	34.58	0.00e+00	29.71	0.00e+00	0.54
chr20-7	chr20	45946423	45946741	+	276.5	0.872	448.000000	442.0	21.0	21.09	0.00e+00	56.07	0.00e+00	0.54
chr2-5	chr2	219178036	219178354	+	275.9	0.815	446.000000	441.0	7.7	57.51	0.00e+00	44.91	0.00e+00	0.54
chr14-12	chr14	44962032	44962350	+	275.9	0.879	442.000000	441.0	15.3	28.75	0.00e+00	43.88	0.00e+00	0.54
chr16-12	chr16	1827052	1827370	+	275.9	0.870	444.000000	441.0	10.2	43.13	0.00e+00	51.84	0.00e+00	0.54
chr11-9	chr11	61792726	61793044	+	275.2	0.829	442.000000	440.0	7.7	57.38	0.00e+00	42.66	0.00e+00	0.54
chr12-8	chr12	48716770	48717088	+	275.2	0.913	444.000000	440.0	9.7	45.30	0.00e+00	75.26	0.00e+00	0.54
chr13-2	chr13	33285648	33285966	+	275.2	0.904	444.000000	440.0	6.6	66.20	0.00e+00	39.52	0.00e+00	0.54
chr6-5	chr6	36423290	36423608	+	274.6	0.917	440.000000	439.0	9.2	47.70	0.00e+00	55.92	0.00e+00	0.54
chr4-3	chr4	47463548	47463866	+	274.0	0.890	439.000000	438.0	11.2	38.94	0.00e+00	82.83	0.00e+00	0.54
chr5-5	chr5	132963508	132963826	+	274.0	0.848	444.000000	438.0	12.8	34.27	0.00e+00	58.49	0.00e+00	0.54
chr6-4	chr6	7590004	7590322	+	274.0	0.915	440.000000	438.0	10.2	42.84	0.00e+00	60.34	0.00e+00	0.54
chr11-11	chr11	62678952	62679270	+	274.0	0.872	439.000000	438.0	6.6	65.90	0.00e+00	68.04	0.00e+00	0.54
chr1-8	chr1	50960171	50960489	+	273.4	0.883	441.000000	437.0	9.7	44.99	0.00e+00	72.71	0.00e+00	0.54
chr10-5	chr10	123154067	123154385	+	273.4	0.902	440.000000	437.0	8.7	50.28	0.00e+00	63.66	0.00e+00	0.54
chr3-5	chr3	143001335	143001653	+	272.7	0.896	439.000000	436.0	10.7	40.61	0.00e+00	61.74	0.00e+00	0.54
chr3-6	chr3	158801886	158802204	+	272.7	0.867	438.000000	436.0	6.6	65.60	0.00e+00	56.97	0.00e+00	0.54
chr9-6	chr9	6757746	6758064	+	272.7	0.829	440.000000	436.0	7.2	60.92	0.00e+00	65.72	0.00e+00	0.54
chr9-7	chr9	122093221	122093539	+	272.7	0.928	438.000000	436.0	9.7	44.88	0.00e+00	98.33	0.00e+00	0.54
chr16-14	chr16	84266392	84266710	+	272.7	0.890	438.000000	436.0	11.8	37.08	0.00e+00	78.55	0.00e+00	0.54
chr17-16	chr17	79728609	79728927	+	272.7	0.916	436.000000	436.0	4.6	94.76	0.00e+00	48.27	0.00e+00	0.54
chr2-7	chr2	217902717	217903035	+	272.1	0.888	439.000000	435.0	14.8	29.34	0.00e+00	43.86	0.00e+00	0.55
chr4-4	chr4	781721	782039	+	272.1	0.927	437.000000	435.0	5.6	77.35	0.00e+00	59.39	0.00e+00	0.55
chr9-9	chr9	136949988	136950306	+	272.1	0.924	436.000000	435.0	6.6	65.45	0.00e+00	45.83	0.00e+00	0.55
chr6-7	chr6	111259147	111259465	+	271.5	0.935	435.000000	434.0	9.2	47.16	0.00e+00	93.05	0.00e+00	0.55
chr20-9	chr20	50468043	50468361	+	271.5	0.914	436.000000	434.0	9.2	47.16	0.00e+00	47.36	0.00e+00	0.55
chr3-7	chr3	184314340	184314658	+	270.9	0.779	436.000000	433.0	4.1	105.87	0.00e+00	123.21	0.00e+00	0.55
chr9-8	chr9	34646435	34646753	+	270.9	0.901	437.000000	433.0	9.2	47.05	0.00e+00	37.77	0.00e+00	0.55
chr11-10	chr11	119067607	119067925	+	270.9	0.829	440.000000	433.0	8.2	52.93	0.00e+00	61.60	0.00e+00	0.55
chr1-9	chr1	36224119	36224437	+	270.2	0.860	432.000000	432.0	7.7	56.33	0.00e+00	72.27	0.00e+00	0.55
chr11-12	chr11	6619275	6619593	+	270.2	0.886	435.000000	432.0	6.1	70.42	0.00e+00	66.77	0.00e+00	0.55
chr13-3	chr13	30395443	30395761	+	270.2	0.874	433.000000	432.0	3.1	140.83	0.00e+00	62.34	0.00e+00	0.55
chr15-4	chr15	41621314	41621632	+	270.2	0.790	434.000000	432.0	7.2	60.36	0.00e+00	25.44	0.00e+00	0.55
chr17-15	chr17	75855271	75855589	+	270.2	0.837	439.000000	432.0	13.3	32.50	0.00e+00	49.82	0.00e+00	0.55
chr2-9	chr2	176002194	176002512	+	269.6	0.897	431.000000	431.0	8.7	49.59	0.00e+00	49.15	0.00e+00	0.55
chr5-6	chr5	150758879	150759197	+	269.6	0.889	432.000000	431.0	8.2	52.69	0.00e+00	54.68	0.00e+00	0.55
chr16-15	chr16	67935708	67936026	+	269.6	0.751	433.000000	431.0	13.8	31.22	0.00e+00	35.18	0.00e+00	0.55
chr17-17	chr17	50095071	50095389	+	269.6	0.918	432.000000	431.0	7.7	56.20	0.00e+00	61.32	0.00e+00	0.55
chr21-2	chr21	38966073	38966391	+	269.6	0.879	434.000000	431.0	10.7	40.14	0.00e+00	54.00	0.00e+00	0.55
chr2-8	chr2	239401493	239401811	+	269.0	0.824	437.000000	430.0	10.2	42.05	0.00e+00	60.89	0.00e+00	0.55
chr9-10	chr9	33290344	33290662	+	268.4	0.888	431.000000	429.0	12.8	33.56	0.00e+00	37.64	0.00e+00	0.55
chr13-4	chr13	49110095	49110413	+	268.4	0.858	431.000000	429.0	6.6	64.55	0.00e+00	64.03	0.00e+00	0.55
chr17-20	chr17	80263443	80263761	+	268.4	0.884	429.000000	429.0	12.3	34.96	0.00e+00	48.56	0.00e+00	0.55
chr1-11	chr1	151198290	151198608	+	267.7	0.918	430.000000	428.0	11.2	38.05	0.00e+00	70.82	0.00e+00	0.55
chr6-6	chr6	109382657	109382975	+	267.7	0.673	437.000000	428.0	4.6	93.02	0.00e+00	21.22	0.00e+00	0.55
chr12-9	chr12	121352350	121352668	+	267.7	0.900	429.000000	428.0	9.7	44.06	0.00e+00	78.03	0.00e+00	0.55
chr16-16	chr16	85307506	85307824	+	267.7	0.869	430.000000	428.0	11.2	38.05	0.00e+00	24.92	0.00e+00	0.55
chr19-16	chr19	12722581	12722899	+	267.7	0.838	432.000000	428.0	8.7	49.25	0.00e+00	51.92	0.00e+00	0.55
chr1-10	chr1	43974739	43975057	+	267.1	0.898	432.000000	427.0	6.6	64.25	0.00e+00	33.08	0.00e+00	0.55
chr3-8	chr3	155854541	155854859	+	267.1	0.841	432.000000	427.0	7.2	59.66	0.00e+00	61.61	0.00e+00	0.55
chr5-7	chr5	41904169	41904487	+	267.1	0.854	428.000000	427.0	8.7	49.13	0.00e+00	68.42	0.00e+00	0.55
chr16-17	chr16	2047715	2048033	+	267.1	0.904	428.000000	427.0	9.7	43.96	0.00e+00	90.91	0.00e+00	0.55
chr19-17	chr19	4815598	4815916	+	267.1	0.899	431.000000	427.0	3.1	139.20	0.00e+00	76.93	0.00e+00	0.55
chr1-13	chr1	56508536	56508854	+	266.5	0.826	427.000000	426.0	6.6	64.10	0.00e+00	67.91	0.00e+00	0.55
chr19-19	chr19	45178486	45178804	+	266.5	0.717	426.000000	426.0	7.2	59.52	0.00e+00	45.83	0.00e+00	0.55
chr16-13	chr16	69762150	69762468	+	265.9	0.832	441.000000	425.0	7.7	55.42	0.00e+00	58.29	0.00e+00	0.55
chr17-19	chr17	39199894	39200212	+	265.9	0.858	431.000000	425.0	12.3	34.64	0.00e+00	47.75	0.00e+00	0.55
chr19-18	chr19	12737332	12737650	+	265.9	0.868	429.000000	425.0	5.6	75.57	0.00e+00	44.16	0.00e+00	0.55
chr22-3	chr22	35299703	35300021	+	265.9	0.888	427.000000	425.0	7.2	59.38	0.00e+00	52.39	0.00e+00	0.55
chr2-10	chr2	97996077	97996395	+	265.2	0.865	429.000000	424.0	12.8	33.17	0.00e+00	50.04	0.00e+00	0.55
chr11-13	chr11	7987102	7987420	+	265.2	0.881	435.000000	424.0	5.1	82.93	0.00e+00	103.27	0.00e+00	0.55
chr16-18	chr16	1474902	1475220	+	265.2	0.864	427.000000	424.0	5.1	82.93	0.00e+00	84.93	0.00e+00	0.55
chr17-21	chr17	18315111	18315429	+	265.2	0.864	426.000000	424.0	9.7	43.65	0.00e+00	59.49	0.00e+00	0.55
chr21-3	chr21	34615212	34615530	+	265.2	0.914	426.000000	424.0	7.7	55.29	0.00e+00	92.87	0.00e+00	0.55
chr1-14	chr1	10472474	10472792	+	264.6	0.885	424.000000	423.0	12.3	34.47	0.00e+00	71.95	0.00e+00	0.55
chr1-12	chr1	22451638	22451956	+	264.6	0.915	429.000000	423.0	6.6	63.65	0.00e+00	75.32	0.00e+00	0.55
chr3-9	chr3	45842004	45842322	+	264.6	0.882	427.000000	423.0	6.1	68.95	0.00e+00	69.62	0.00e+00	0.55
chr5-8	chr5	172983587	172983905	+	264.6	0.890	428.000000	423.0	9.2	45.97	0.00e+00	67.43	0.00e+00	0.55
